ticker,name,sector,sector_no,market,market_cap
005930,삼성전자,반도체와반도체장비,278,KOSPI,1125323168972200
000660,SK하이닉스,반도체와반도체장비,278,KOSPI,690874244385000
005935,삼성전자우,반도체와반도체장비,278,KOSPI,110238177106400
005380,현대차,자동차,273,KOSPI,104221702894000
373220,LG에너지솔루션,전기제품,283,KOSPI,93951000000000
207940,삼성바이오로직스,제약,261,KOSPI,80361090936000
402340,SK스퀘어,복합기업,276,KOSPI,76610526700000
000270,기아,자동차,273,KOSPI,67072953056400
034020,두산에너빌리티,기계,299,KOSPI,66298078611000
012450,한화에어로스페이스,우주항공과국방,284,KOSPI,64041744042000
329180,HD현대중공업,조선,291,KOSPI,63186657450000
105560,KB금융,은행,301,KOSPI,62937156804000
028260,삼성물산,복합기업,276,KOSPI,56262236064000
068270,셀트리온,제약,261,KOSPI,55913679162000
055550,신한지주,은행,301,KOSPI,49520483268000
042660,한화오션,조선,291,KOSPI,45931367760600
032830,삼성생명,생명보험,330,KOSPI,43800000000000
015760,한국전력,전기유틸리티,325,KOSPI,40443736851000
006800,미래에셋증권,증권,321,KOSPI,40206378540600
012330,현대모비스,자동차부품,270,KOSPI,40194534269000
035420,NAVER,양방향미디어와서비스,300,KOSPI,39918996371000
086790,하나금융지주,은행,301,KOSPI,36544179378200
267260,HD현대일렉트릭,전기장비,306,KOSPI,36443653485000
010130,고려아연,비철금속,322,KOSPI,34711747447000
006400,삼성SDI,전기제품,283,KOSPI,32395383060000
009540,HD한국조선해양,조선,291,KOSPI,31989448432000
005490,POSCO홀딩스,철강,304,KOSPI,31887583088000
316140,우리금융지주,은행,301,KOSPI,29950313856000
000810,삼성화재,손해보험,315,KOSPI,28434893790000
009150,삼성전기,전자장비와기기,282,KOSPI,28159523392000
034730,SK,석유와가스,313,KOSPI,27659781194500
010140,삼성중공업,조선,291,KOSPI,25960000000000
035720,카카오,양방향미디어와서비스,300,KOSPI,25626868235100
138040,메리츠금융지주,증권,321,KOSPI,25617423212600
298040,효성중공업,전기장비,306,KOSPI,24551534884000
064350,현대로템,우주항공과국방,284,KOSPI,24011304460000
051910,LG화학,화학,272,KOSPI,23789619591000
086520,에코프로,화학,272,KOSDAQ,23258454837600
267250,HD현대,조선,291,KOSPI,23065980820000
024110,기업은행,은행,301,KOSPI,22766508559950
272210,한화시스템,우주항공과국방,284,KOSPI,22009108818500
011200,HMM,해운사,323,KOSPI,21835959005500
096770,SK이노베이션,석유와가스,313,KOSPI,21571135748800
196170,알테오젠,생물공학,286,KOSDAQ,21509326776000
247540,에코프로비엠,전기제품,283,KOSDAQ,20934675404000
033780,KT&G,담배,275,KOSPI,20893663829500
010120,LS ELECTRIC,전기장비,306,KOSPI,20730000000000
003670,포스코퓨처엠,화학,272,KOSPI,20724469260000
086280,현대글로비스,항공화물운송과물류,326,KOSPI,20250000000000
066570,LG전자,전자제품,307,KOSPI,20132757433200
042700,한미반도체,반도체와반도체장비,278,KOSPI,19110096100000
030200,KT,다각화된통신서비스,336,KOSPI,17364294096500
017670,SK텔레콤,무선통신서비스,333,KOSPI,17355036282400
047810,한국항공우주,우주항공과국방,284,KOSPI,17340821535300
352820,하이브,방송과엔터테인먼트,285,KOSPI,17151234772500
000150,두산,복합기업,276,KOSPI,16954945245000
071050,한국금융지주,증권,321,KOSPI,16299852660000
003550,LG,복합기업,276,KOSPI,15190826122500
000250,삼천당제약,제약,261,KOSDAQ,15083154496000
000720,현대건설,건설,279,KOSPI,14286944649500
005940,NH투자증권,증권,321,KOSPI,13968699264800
277810,레인보우로보틱스,기계,299,KOSDAQ,13812698896000
323410,카카오뱅크,은행,301,KOSPI,13690228241900
010950,S-Oil,석유와가스,313,KOSPI,13509935040000
039490,키움증권,증권,321,KOSPI,13434068838500
005830,DB손해보험,손해보험,315,KOSPI,13342543200000
018260,삼성에스디에스,IT서비스,267,KOSPI,13332194940000
047050,포스코인터내셔널,무역회사와판매업체,334,KOSPI,13246985936400
259960,크래프톤,게임엔터테인먼트,263,KOSPI,12348697975500
307950,현대오토에버,IT서비스,267,KOSPI,11902008188000
278470,에이피알,화장품,266,KOSPI,10799465217500
079550,LIG넥스원,우주항공과국방,284,KOSPI,10703000000000
298380,에이비엘바이오,생물공학,286,KOSDAQ,10395970984000
016360,삼성증권,증권,321,KOSPI,10224850000000
180640,한진칼,항공사,305,KOSPI,9900845975700
005387,현대차2우B,자동차,273,KOSPI,9789900400000
000880,한화,복합기업,276,KOSPI,9504767598000
161390,한국타이어앤테크놀로지,자동차부품,270,KOSPI,9364955216400
003490,대한항공,항공사,305,KOSPI,9260749624150
090430,아모레퍼시픽,화장품,266,KOSPI,9124870404000
009830,한화솔루션,에너지장비및서비스,295,KOSPI,9110304408000
377300,카카오페이,IT서비스,267,KOSPI,9109195598000
000100,유한양행,제약,261,KOSPI,8904601791800
003230,삼양식품,식품,268,KOSPI,8768429460000
326030,SK바이오팜,제약,261,KOSPI,8755421350000
006260,LS,전기장비,306,KOSPI,8099350000000
214370,케어젠,건강관리업체및서비스,316,KOSDAQ,8062621500000
443060,HD현대마린솔루션,조선,291,KOSPI,7948595695500
128940,한미약품,제약,261,KOSPI,7814704510000
029780,삼성카드,카드,337,KOSPI,7808889253400
950160,코오롱티슈진,생물공학,286,KOSDAQ,7539846609000
032640,LG유플러스,무선통신서비스,333,KOSPI,7521996212500
007660,이수페타시스,전자장비와기기,282,KOSPI,7377626509500
058470,리노공업,반도체와반도체장비,278,KOSDAQ,7354443525000
028300,HLB,건강관리장비와용품,281,KOSDAQ,7121786464000
175330,JB금융지주,은행,301,KOSPI,7120672537500
078930,GS,석유와가스,313,KOSPI,7033694114600
138930,BNK금융지주,은행,301,KOSPI,7028907297450
028050,삼성E&A,건설,279,KOSPI,6977600000000
267270,HD건설기계,기계,299,KOSPI,6956247110000
064400,LG씨엔에스,IT서비스,267,KOSPI,6937033876800
034220,LG디스플레이,디스플레이패널,327,KOSPI,6655000000000
001040,CJ,복합기업,276,KOSPI,6579413049000
454910,두산로보틱스,기계,299,KOSPI,6514407990000
005385,현대차우,자동차,273,KOSPI,6512127840000
087010,펩트론,생물공학,286,KOSDAQ,6423929925000
141080,리가켐바이오,제약,261,KOSDAQ,6340910541600
241560,두산밥캣,기계,299,KOSPI,6278572257500
021240,코웨이,가정용기기와용품,298,KOSPI,6277667310900
052690,한전기술,전기유틸리티,325,KOSPI,6241326000000
001440,대한전선,전기장비,306,KOSPI,6134116170000
011070,LG이노텍,전자장비와기기,282,KOSPI,6058779392000
240810,원익IPS,반도체와반도체장비,278,KOSDAQ,5855709389300
022100,포스코DX,IT서비스,267,KOSPI,5853337066500
088350,한화생명,생명보험,330,KOSPI,5732298000000
